id,Arabic_vs_Chinese_Chi,Arabic_vs_Chinese_Z,Arabic_vs_Chinese_Fisher,Arabic_vs_English_Chi,Arabic_vs_English_Z,Arabic_vs_English_Fisher,Arabic_vs_Korean_Chi,Arabic_vs_Korean_Z,Arabic_vs_Korean_Fisher,Arabic_vs_Russian_Chi,Arabic_vs_Russian_Z,Arabic_vs_Russian_Fisher,Chinese_vs_English_Chi,Chinese_vs_English_Z,Chinese_vs_English_Fisher,Chinese_vs_Korean_Chi,Chinese_vs_Korean_Z,Chinese_vs_Korean_Fisher,Chinese_vs_Russian_Chi,Chinese_vs_Russian_Z,Chinese_vs_Russian_Fisher,English_vs_Korean_Chi,English_vs_Korean_Z,English_vs_Korean_Fisher,English_vs_Russian_Chi,English_vs_Russian_Z,English_vs_Russian_Fisher,Korean_vs_Russian_Chi,Korean_vs_Russian_Z,Korean_vs_Russian_Fisher
PQ_53_Scty,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
PQ_54_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2747,0.2367,0.2746,0.8497,0.7762,0.8498,0.4427,0.3984,0.4427,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1691,0.1424,0.1690
PQ_55_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.0684 (*),0.0577 (*),0.0683 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.6045,0.5457,0.6046
PQ_56_Scty,0.0002 (***),0.0002 (***),0.0002 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0230 (**),0.0188 (**),0.0229 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0902 (*),0.0765 (*),0.0901 (*),0.1725,0.1499,0.1725,0.0196 (**),0.0158 (**),0.0195 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0018 (***),0.0013 (***),0.0017 (***)
PQ_57_Scty,0.9341,0.8686,0.9341,0.0005 (***),0.0004 (***),0.0005 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0002 (***),0.0003 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2244,0.1968,0.2244,0.0000 (***),0.0000 (***),0.0000 (***)
PQ_58_Scty,0.3368,0.2981,0.3368,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2472,0.0826 (*),0.2489,0.0000 (***),0.0000 (***),0.0000 (***)
PQ_59_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3381,0.2920,0.3381,0.0003 (***),0.0003 (***),0.0003 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1156,0.0985 (*),0.1155,0.0000 (***),0.0000 (***),0.0000 (***)
PQ_60_Scty,0.0151 (**),0.0069 (***),0.0121 (**),0.0368 (**),0.0188 (**),0.0333 (**),0.0368 (**),0.0188 (**),0.0333 (**),0.0014 (***),0.0005 (***),0.0004 (***),1.0000,0.6536,1.0000,1.0000,0.6536,1.0000,0.4789,0.1567,0.4993,1.0000,1.0000,1.0000,0.2472,0.0826 (*),0.2489,0.2472,0.0826 (*),0.2489
PQ_61_Scty,0.6868,0.6285,0.6868,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0158 (**),0.0127 (**),0.0157 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0038 (***),0.0030 (***),0.0038 (***),0.0810 (*),0.0686 (*),0.0809 (*),0.0001 (***),0.0001 (***),0.0001 (***),0.0339 (**),0.0280 (**),0.0338 (**)
PQ_62_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.9378,0.8761,0.9379,0.0532 (*),0.0443 (**),0.0531 (*),0.0050 (***),0.0039 (***),0.0050 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4254,0.3806,0.4254,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_63_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0663 (*),0.0526 (*),0.0660 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2187,0.1010,0.2167,0.0000 (***),0.0000 (***),0.0000 (***)
PQ_64_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.6070,0.5485,0.6071,0.0000 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0002 (***),0.0003 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_65_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
PQ_66_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2435,0.2135,0.2434,0.0013 (***),0.0010 (***),0.0013 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1209,0.1005,0.1207,0.0011 (***),0.0009 (***),0.0011 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_67_Scty,0.8562,0.7857,0.8562,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0254 (**),0.0197 (**),0.0251 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0122 (**),0.0093 (***),0.0121 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0019 (***),0.0013 (***),0.0018 (***)
PQ_68_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.5132,0.4620,0.5133,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_69_Scty,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***)
PQ_70_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.0340 (**),0.0197 (**),0.0318 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.9325,0.8655,0.9325,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
R_01,0.0011 (***),0.0008 (***),0.0010 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.5513,0.4869,0.5514,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0370 (**),0.0303 (**),0.0369 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
R_02,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.7425,0.6813,0.7425,0.0082 (***),0.0065 (***),0.0081 (***),0.7044,0.6489,0.7045,0.0003 (***),0.0002 (***),0.0002 (***),0.0283 (**),0.0233 (**),0.0283 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
R_03,1.0000,0.5629,1.0000,0.1113,0.0560 (*),0.1069,0.1796,0.0934 (*),0.1769,0.0251 (**),0.0117 (**),0.0213 (**),0.0441 (**),0.0189 (**),0.0379 (**),0.0754 (*),0.0329 (**),0.0688 (*),0.0088 (***),0.0036 (***),0.0059 (***),1.0000,0.7941,1.0000,0.6418,0.4853,0.6430,0.4738,0.3395,0.4749
R_04,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.7499,0.6708,0.7500,0.0000 (***),0.0000 (***),0.0000 (***),0.0077 (***),0.0061 (***),0.0076 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
R_05,0.0000 (***),0.0000 (***),0.0000 (***),0.0289 (**),0.0224 (**),0.0286 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.7221,0.4770,0.7250,0.2060,0.1292,0.2048,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0588 (*),0.0308 (**),0.0549 (*)
R_06,0.0004 (***),0.0003 (***),0.0004 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.8181,0.7591,0.8181,0.0040 (***),0.0031 (***),0.0040 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0011 (***),0.0009 (***),0.0011 (***),0.5443,0.4952,0.5444,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0101 (**),0.0081 (***),0.0100 (**)
R_07,0.0081 (***),0.0062 (***),0.0079 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0002 (***),0.0001 (***),0.0002 (***),0.0051 (***),0.0040 (***),0.0051 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3267,0.2807,0.3267,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0470 (**),0.0391 (**),0.0469 (**),0.0000 (***),0.0000 (***),0.0000 (***)
R_08,0.0000 (***),0.0000 (***),0.0000 (***),0.3232,0.2874,0.3232,0.3256,0.2898,0.3256,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3132,0.2746,0.3132,0.0408 (**),0.0339 (**),0.0408 (**),0.0005 (***),0.0004 (***),0.0005 (***),0.0000 (***),0.0000 (***),0.0000 (***)
R_09,0.1390,0.1194,0.1389,0.0009 (***),0.0006 (***),0.0008 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4444,0.4002,0.4444,0.0743 (*),0.0621 (*),0.0742 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0204 (**),0.0166 (**),0.0203 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
R_10,0.0001 (***),0.0000 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1346,0.1153,0.1345
R_11,0.0304 (**),0.0250 (**),0.0304 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.2746,0.2417,0.2746,0.0001 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.3190,0.2832,0.3190,0.0957 (*),0.0815 (*),0.0956 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0336 (**),0.0277 (**),0.0335 (**),0.0062 (***),0.0049 (***),0.0062 (***)
R_12,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4672,0.4061,0.4674,1.0000,0.9193,1.0000,0.5732,0.5197,0.5733,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.5317,0.4656,0.5318
R_13,0.0227 (**),0.0180 (**),0.0226 (**),0.0001 (***),0.0001 (***),0.0001 (***),0.1789,0.1516,0.1787,0.0043 (***),0.0033 (***),0.0042 (***),0.1039,0.0877 (*),0.1038,0.3946,0.3490,0.3946,0.6192,0.5621,0.6193,0.0106 (**),0.0083 (***),0.0105 (**),0.2944,0.2588,0.2944,0.1524,0.1297,0.1523
R_14,0.5211,0.4704,0.5211,0.0000 (***),0.0000 (***),0.0000 (***),0.8123,0.7515,0.8123,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3378,0.2991,0.3378,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
R_15,0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0004 (***),0.0003 (***),0.0004 (***),0.1015,0.0862 (*),0.1014,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0492 (**),0.0411 (**),0.0491 (**),0.0001 (***),0.0001 (***),0.0001 (***),0.0679 (*),0.0572 (*),0.0678 (*)
R_16,0.2568,0.2264,0.2568,0.0000 (***),0.0000 (***),0.0000 (***),0.0005 (***),0.0004 (***),0.0005 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0223 (**),0.0182 (**),0.0222 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.5088,0.4573,0.5088,0.0000 (***),0.0000 (***),0.0000 (***)
R_17,0.0711 (*),0.0596 (*),0.0710 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0031 (***),0.0024 (***),0.0031 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0119 (**),0.0096 (***),0.0119 (**)
R_18,0.0000 (***),0.0000 (***),0.0000 (***),0.0040 (***),0.0031 (***),0.0039 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.7583,0.7005,0.7583,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0040 (***),0.0031 (***),0.0039 (***),0.0000 (***),0.0000 (***),0.0000 (***)
R_19,1.0000,1.0000,1.0000,1.0000,0.9340,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0770 (*),0.0645 (*),0.0769 (*),1.0000,0.9340,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0770 (*),0.0645 (*),0.0769 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0642 (*),0.0534 (*),0.0641 (*),0.0000 (***),0.0000 (***),0.0000 (***)
R_20,0.3226,0.2867,0.3226,0.0000 (***),0.0000 (***),0.0000 (***),0.2239,0.1962,0.2238,0.0005 (***),0.0004 (***),0.0005 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.8796,0.8202,0.8796,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
S_01,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0005 (***),0.0003 (***),0.0004 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0005 (***),0.0003 (***),0.0004 (***),0.0024 (***),0.0008 (***),0.0009 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1034,0.0704 (*),0.1020
S_02,0.0000 (***),0.0000 (***),0.0000 (***),0.5317,0.4656,0.5318,0.0013 (***),0.0009 (***),0.0012 (***),0.6893,0.6172,0.6894,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0126 (**),0.0090 (***),0.0122 (**),0.2602,0.2193,0.2601,0.0002 (***),0.0001 (***),0.0002 (***)
S_03,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.6670,0.5907,0.6672,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.6221,0.5653,0.6221,0.0000 (***),0.0000 (***),0.0000 (***)
S_04,0.0565 (*),0.0457 (**),0.0563 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0565 (*),0.0457 (**),0.0563 (*),0.5372,0.4807,0.5373,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.2288,0.1950,0.2288,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2288,0.1950,0.2288
S_05,0.0038 (***),0.0027 (***),0.0037 (***),0.4784,0.4082,0.4785,0.9033,0.8080,0.9034,0.0000 (***),0.0000 (***),0.0000 (***),0.0371 (**),0.0286 (**),0.0367 (**),0.0079 (***),0.0057 (***),0.0077 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.6400,0.5588,0.6402,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
S_06,0.5228,0.4722,0.5229,0.7456,0.6850,0.7456,1.0000,0.9356,1.0000,1.0000,1.0000,1.0000,0.2966,0.2610,0.2966,0.4718,0.4240,0.4718,0.5228,0.4722,0.5229,0.8075,0.7453,0.8075,0.7456,0.6850,0.7456,1.0000,0.9356,1.0000
S_07,0.0000 (***),0.0000 (***),0.0000 (***),0.0059 (***),0.0047 (***),0.0059 (***),1.0000,0.9350,1.0000,0.0567 (*),0.0472 (**),0.0566 (*),0.0002 (***),0.0001 (***),0.0002 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0076 (***),0.0060 (***),0.0075 (***),0.4401,0.3958,0.4402,0.0681 (*),0.0570 (*),0.0680 (*)
S_08,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0010 (***),0.0005 (***),0.0007 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.5037,0.4447,0.5038,0.0000 (***),0.0000 (***),0.0000 (***),0.1723,0.1437,0.1722,0.0000 (***),0.0000 (***),0.0000 (***),0.5487,0.4841,0.5488,0.0001 (***),0.0001 (***),0.0001 (***)
S_09,0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4789,0.1567,0.4993,0.0003 (***),0.0001 (***),0.0001 (***),0.0029 (***),0.0018 (***),0.0026 (***),0.0019 (***),0.0008 (***),0.0011 (***),1.0000,0.8542,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0017 (***),0.0010 (***),0.0015 (***),0.0032 (***),0.0014 (***),0.0021 (***)
S_10,0.0000 (***),0.0000 (***),0.0000 (***),0.2187,0.1010,0.2167,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0076 (***),0.0055 (***),0.0074 (***),0.4382,0.3831,0.4383,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0708 (*),0.0558 (*),0.0705 (*)
T_01,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0053 (***),0.0040 (***),0.0052 (***),0.4049,0.3595,0.4049,0.0001 (***),0.0000 (***),0.0001 (***),0.0002 (***),0.0002 (***),0.0002 (***),0.2635,0.2225,0.2634,0.0000 (***),0.0000 (***),0.0000 (***)
T_02,1.0000,0.9136,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9136,1.0000,1.0000,0.9136,1.0000,1.0000,0.9136,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
T_03,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0156 (**),0.0126 (**),0.0155 (**),0.2215,0.1940,0.2215,0.5423,0.4930,0.5423,0.0002 (***),0.0002 (***),0.0002 (***),0.0019 (***),0.0015 (***),0.0019 (***),0.5912,0.5393,0.5912
T_04,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.5286,0.4622,0.5287,0.8394,0.7612,0.8395,0.0013 (***),0.0010 (***),0.0013 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3499,0.2990,0.3500
T_05,0.3847,0.3430,0.3847,0.2549,0.2226,0.2549,0.0009 (***),0.0007 (***),0.0009 (***),0.0291 (**),0.0238 (**),0.0290 (**),0.0370 (**),0.0303 (**),0.0369 (**),0.0175 (**),0.0142 (**),0.0174 (**),0.2162,0.1889,0.2162,0.0000 (***),0.0000 (***),0.0000 (***),0.0007 (***),0.0005 (***),0.0007 (***),0.2866,0.2536,0.2866
T_06,0.0018 (***),0.0013 (***),0.0017 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.9219,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0013 (***),0.0009 (***),0.0012 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2568,0.2265,0.2568,0.0000 (***),0.0000 (***),0.0000 (***)
T_07,0.0002 (***),0.0001 (***),0.0002 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0036 (***),0.0025 (***),0.0034 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0051 (***),0.0038 (***),0.0050 (***),0.4797,0.4193,0.4799,0.2960,0.2543,0.2960,0.0003 (***),0.0002 (***),0.0003 (***),0.0940 (*),0.0779 (*),0.0938 (*),0.0648 (*),0.0519 (*),0.0645 (*)
T_08,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0125 (**),0.0075 (***),0.0115 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.5286,0.4622,0.5287,0.0002 (***),0.0001 (***),0.0001 (***),0.2860,0.2405,0.2860,0.0021 (***),0.0014 (***),0.0020 (***),0.7417,0.6603,0.7418,0.0082 (***),0.0056 (***),0.0078 (***)
T_09,0.0006 (***),0.0004 (***),0.0005 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0014 (***),0.0010 (***),0.0014 (***),0.1253,0.1034,0.1251,0.3216,0.2830,0.3216,0.8657,0.7997,0.8657,0.0663 (*),0.0544 (*),0.0661 (*),0.2135,0.1845,0.2134,0.0037 (***),0.0028 (***),0.0036 (***),0.1133,0.0946 (*),0.1132
T_10,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2708,0.2356,0.2707,0.0001 (***),0.0001 (***),0.0001 (***),0.4944,0.4420,0.4944,0.0068 (***),0.0054 (***),0.0068 (***),0.7383,0.6762,0.7383,0.0018 (***),0.0014 (***),0.0018 (***)
