id,Arabic_vs_Chinese_Chi,Arabic_vs_Chinese_Z,Arabic_vs_Chinese_Fisher,Arabic_vs_English_Chi,Arabic_vs_English_Z,Arabic_vs_English_Fisher,Arabic_vs_Korean_Chi,Arabic_vs_Korean_Z,Arabic_vs_Korean_Fisher,Arabic_vs_Russian_Chi,Arabic_vs_Russian_Z,Arabic_vs_Russian_Fisher,Chinese_vs_English_Chi,Chinese_vs_English_Z,Chinese_vs_English_Fisher,Chinese_vs_Korean_Chi,Chinese_vs_Korean_Z,Chinese_vs_Korean_Fisher,Chinese_vs_Russian_Chi,Chinese_vs_Russian_Z,Chinese_vs_Russian_Fisher,English_vs_Korean_Chi,English_vs_Korean_Z,English_vs_Korean_Fisher,English_vs_Russian_Chi,English_vs_Russian_Z,English_vs_Russian_Fisher,Korean_vs_Russian_Chi,Korean_vs_Russian_Z,Korean_vs_Russian_Fisher
PQ_14_Econ,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
PQ_15_Econ,0.0000 (***),0.0000 (***),0.0000 (***),0.3569,0.3183,0.3569,0.0000 (***),0.0000 (***),0.0000 (***),0.1261,0.1083,0.1261,0.0000 (***),0.0000 (***),0.0000 (***),0.2692,0.2341,0.2692,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.5943,0.5427,0.5943,0.0000 (***),0.0000 (***),0.0000 (***)
PQ_16_Dipl,1.0000,0.3170,1.0000,0.3694,0.1782,0.3732,0.2187,0.1010,0.2167,0.1286,0.0575 (*),0.1231,0.1325,0.0449 (**),0.1239,0.0726 (*),0.0248 (**),0.0616 (*),0.0404 (**),0.0139 (**),0.0306 (**),1.0000,0.7373,1.0000,0.7501,0.5241,0.7521,1.0000,0.7612,1.0000
PQ_17_Dipl,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.9143,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0694 (*),0.0585 (*),0.0693 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_18_Dipl,0.0770 (*),0.0645 (*),0.0769 (*),0.0918 (*),0.0773 (*),0.0917 (*),0.0005 (***),0.0004 (***),0.0005 (***),0.0003 (***),0.0002 (***),0.0002 (***),1.0000,0.9342,1.0000,0.1052,0.0881 (*),0.1050,0.0000 (***),0.0000 (***),0.0000 (***),0.0886 (*),0.0738 (*),0.0885 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_19_Dipl,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000
PQ_20_Dipl,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0066 (***),0.0044 (***),0.0062 (***),0.0026 (***),0.0016 (***),0.0023 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.8735,0.7503,0.8738,0.0079 (***),0.0044 (***),0.0069 (***),0.0185 (**),0.0107 (**),0.0169 (**)
PQ_21_Dipl,0.0000 (***),0.0000 (***),0.0000 (***),0.0007 (***),0.0005 (***),0.0007 (***),0.7040,0.6484,0.7040,0.0000 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0002 (***),0.0003 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0033 (***),0.0026 (***),0.0033 (***),0.0032 (***),0.0025 (***),0.0032 (***),0.5395,0.4901,0.5396,0.0003 (***),0.0002 (***),0.0003 (***)
PQ_22_Dipl,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.7459,0.6657,0.7460,0.0017 (***),0.0011 (***),0.0015 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0065 (***),0.0045 (***),0.0062 (***)
PQ_23_Dipl,0.0001 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,0.3170,1.0000,1.0000,1.0000,1.0000,1.0000,0.3170,1.0000,1.0000,1.0000,1.0000,1.0000,0.3170,1.0000
